Run,Streak Target,Flips Required
35,5,12
35,6,25
35,7,247
35,8,128
35,9,194
35,10,336
35,11,388
35,12,2112
35,13,28481
35,14,26055
35,15,28978
35,16,49186
35,17,197082
35,18,387489
35,19,35687
35,20,1595366
36,1,0
36,2,1
36,3,6
36,4,3
36,5,28
36,6,65
36,7,22
36,8,585
36,9,900
36,10,2507
36,11,3550
36,12,5331
36,13,10444
36,14,20276
36,15,7212
36,16,96136
36,17,34003
36,18,229724
36,19,200427
36,20,1908838
37,1,0
37,2,1
37,3,2
37,4,21
37,5,6
37,6,81
37,7,15
37,8,417
37,9,611
37,10,1412
37,11,4358
37,12,4073
37,13,10837
37,14,509
37,15,10019
37,16,57082
37,17,750273
37,18,239820
37,19,609998
37,20,1108678
38,1,0
38,2,1
38,3,2
38,4,21
38,5,11
38,6,9
38,7,214
38,8,7
38,9,160
38,10,769
38,11,1490
38,12,1034
38,13,11123
38,14,3748
38,15,166390
38,16,65241
38,17,187111
38,18,757181
38,19,1136952
38,20,694556
39,1,0
39,2,2
39,3,2
39,4,5
39,5,29
39,6,18
39,7,29
39,8,33
39,9,828
39,10,606
39,11,460
39,12,6755
39,13,14938
39,14,28567
39,15,122312
39,16,127561
39,17,259390
39,18,98648
39,19,785891
39,20,1342485
40,1,0
40,2,1
40,3,3
40,4,8
40,5,6
40,6,113
40,7,39
40,8,84
40,9,1197
40,10,22
40,11,3443
40,12,1454
40,13,5479
40,14,32303
40,15,51738
40,16,87334
40,17,222283
40,18,8248
40,19,127740
40,20,895236
41,1,0
41,2,3
41,3,11
41,4,3
41,5,17
41,6,131
41,7,276
41,8,388
41,9,446
41,10,1420
41,11,2700
41,12,4204
41,13,159
41,14,30235
41,15,4340
41,16,123666
41,17,218259
41,18,151688
41,19,2348846
41,20,890565
42,1,0
42,2,1
42,3,8
42,4,18
42,5,6
42,6,53
42,7,140
42,8,17
42,9,1779
42,10,1174
42,11,2323
42,12,2536
42,13,903
42,14,9223
42,15,6075
42,16,66242
42,17,129215
42,18,349783
42,19,590794
42,20,1615360
43,1,0
43,2,4
43,3,12
43,4,5
43,5,14
43,6,62
43,7,95
43,8,79
43,9,1514
43,10,392
43,11,244
43,12,1279
43,13,3467
43,14,8288
43,15,176536
43,16,3451
43,17,193031
43,18,115278
43,19,38858
43,20,102055
44,1,0
44,2,2
44,3,2
44,4,31
44,5,40
44,6,12
44,7,23
44,8,151
44,9,136
44,10,950
44,11,4391
44,12,5343
44,13,21552
44,14,11027
44,15,7384
44,16,57287
44,17,8769
44,18,233396
44,19,222787
44,20,295338
45,1,0
45,2,4
45,3,5
45,4,31
45,5,14
45,6,16
45,7,190
45,8,104
45,9,434
45,10,537
45,11,586
45,12,472
45,13,22499
45,14,4753
45,15,17233
45,16,195726
45,17,105023
45,18,48195
45,19,1101
45,20,157193
46,1,0
46,2,2
46,3,2
46,4,3
46,5,47
46,6,17
46,7,9
46,8,597
46,9,1352
46,10,394
46,11,2841
46,12,20725
46,13,18107
46,14,2746
46,15,29763
46,16,39619
46,17,14792
46,18,321836
46,19,1073670
46,20,603242
47,1,0
47,2,1
47,3,9
47,4,3
47,5,17
47,6,82
47,7,113
47,8,235
47,9,875
47,10,1103
47,11,191
47,12,645
47,13,1111
47,14,35233
47,15,11533
47,16,135440
47,17,42909
47,18,674927
47,19,238205
47,20,826020
48,1,0
48,2,1
48,3,4
48,4,26
48,5,20
48,6,6
48,7,33
48,8,173
48,9,1636
48,10,2939
48,11,2683
48,12,6180
48,13,470
48,14,16078
48,15,2785
48,16,50405
48,17,17741
48,18,197389
48,19,637801
48,20,769239
49,1,0
49,2,1
49,3,3
49,4,13
49,5,19
49,6,17
49,7,309
49,8,20
49,9,785
49,10,284
49,11,3754
49,12,4464
49,13,2430
49,14,116450
49,15,7646
49,16,18658
49,17,30871
49,18,79195
49,19,415512
49,20,301779
50,1,0
50,2,3
50,3,6
50,4,9
50,5,23
50,6,25
50,7,207
50,8,498
50,9,244
50,10,66
50,11,704
50,12,1887
50,13,3216
50,14,17618
50,15,4710
50,16,88
50,17,204590
50,18,3397
50,19,356020
50,20,104618
51,1,0
51,2,1
51,3,3
51,4,5
51,5,41
51,6,76
51,7,163
51,8,74
51,9,33
51,10,2239
51,11,2754
51,12,4796
51,13,7156
51,14,3567
51,15,53967
51,16,30164
51,17,220927
51,18,457945
51,19,329779
51,20,4278546
52,1,0
52,2,1
52,3,2
52,4,27
52,5,4
52,6,5
52,7,125
52,8,149
52,9,1273
52,10,1165
52,11,1911
52,12,22965
52,13,8879
52,14,6481
52,15,15751
52,16,10641
52,17,300243
52,18,355427
52,19,109583
52,20,165776
53,1,0
53,2,1
53,3,2
53,4,12
53,5,182
53,6,31
53,7,17
53,8,37
53,9,703
53,10,10
53,11,2127
53,12,1381
53,13,6251
53,14,11425
53,15,39101
53,16,97976
53,17,357600
53,18,230229
53,19,42352
53,20,406211
54,1,0
54,2,2
54,3,3
54,4,14
54,5,85
54,6,54
54,7,31
54,8,18
54,9,459
54,10,803
54,11,2020
54,12,18056
54,13,4913
54,14,28086
54,15,17156
54,16,52444
54,17,24071
54,18,45191
54,19,442749
54,20,335317
55,1,0
55,2,3
55,3,2
55,4,17
55,5,10
55,6,66
55,7,137
55,8,202
55,9,70
55,10,391
55,11,3045
55,12,3018
55,13,821
55,14,14372
55,15,34563
55,16,64086
55,17,297780
55,18,3686
55,19,1506408
55,20,1431110
56,1,0
56,2,3
56,3,7
56,4,17
56,5,50
56,6,62
56,7,172
56,8,644
56,9,173
56,10,2633
56,11,1876
56,12,3101
56,13,28472
56,14,4937
56,15,62239
56,16,29216
56,17,45067
56,18,344603
56,19,93879
56,20,79602
57,1,0
57,2,1
57,3,5
57,4,3
57,5,4
57,6,24
57,7,151
57,8,87
57,9,1101
57,10,381
57,11,2890
57,12,10691
57,13,3926
57,14,20620
57,15,3915
57,16,73523
57,17,130051
57,18,111438
57,19,1132538
57,20,723640
58,1,0
58,2,1
58,3,7
58,4,15
58,5,4
58,6,225
58,7,47
58,8,270
58,9,258
58,10,304
58,11,1764
58,12,364
58,13,1621
58,14,39917
58,15,24003
58,16,187537
58,17,77345
58,18,164590
58,19,1159608
58,20,3313231
59,1,0
59,2,2
59,3,5
59,4,4
59,5,32
59,6,78
59,7,96
59,8,361
59,9,1217
59,10,159
59,11,426
59,12,1583
59,13,6416
59,14,19004
59,15,35598
59,16,42791
59,17,176275
59,18,26488
59,19,18893
59,20,1362197
60,1,0
60,2,1
60,3,5
60,4,23
60,5,7
60,6,64
60,7,67
60,8,442
60,9,12
60,10,376
60,11,2083
60,12,449
60,13,2020
60,14,49984
60,15,20480
60,16,3254
60,17,153440
60,18,364558
60,19,292966
60,20,537791
61,1,0
61,2,1
61,3,2
61,4,13
61,5,18
61,6,23
61,7,7
61,8,53
61,9,653
61,10,169
61,11,412
61,12,3109
61,13,20856
61,14,22101
61,15,34355
61,16,62590
61,17,114964
61,18,179895
61,19,1166242
61,20,107030
62,1,0
62,2,2
62,3,3
62,4,11
62,5,32
62,6,102
62,7,212
62,8,188
62,9,1648
62,10,1579
62,11,1462
62,12,812
62,13,14772
62,14,14875
62,15,1226
62,16,35094
62,17,348881
62,18,46210
62,19,81904
62,20,1885255
63,1,0
63,2,2
63,3,5
63,4,9
63,5,61
63,6,58
63,7,169
63,8,78
63,9,1648
63,10,203
63,11,1963
63,12,370
63,13,9515
63,14,28790
63,15,89923
63,16,32140
63,17,1578
63,18,29824
63,19,300547
63,20,49086
64,1,0
64,2,3
64,3,16
64,4,4
64,5,11
64,6,43
64,7,40
64,8,461
64,9,147
64,10,4376
64,11,9096
64,12,5271
64,13,9934
64,14,10418
64,15,7129
64,16,52736
64,17,27865
64,18,55657
64,19,252815
64,20,3969021
65,1,0
65,2,1
65,3,3
65,4,10
65,5,9
65,6,33
65,7,44
65,8,611
65,9,895
65,10,370
65,11,536
65,12,3007
65,13,3412
65,14,4838
65,15,83741
65,16,19275
65,17,28156
65,18,112120
65,19,1017795
65,20,425178
66,1,0
66,2,1
66,3,15
66,4,10
66,5,59
66,6,25
66,7,119
66,8,57
66,9,653
66,10,674
66,11,2623
66,12,2083
66,13,12419
66,14,51554
66,15,10744
66,16,166403
66,17,277188
66,18,220468
66,19,161280
66,20,133105
67,1,0
67,2,2
67,3,2
67,4,9
67,5,14
67,6,12
67,7,65
67,8,30
67,9,296
67,10,1648
67,11,1363
67,12,8162
67,13,20701
67,14,40565
67,15,34702
67,16,27596
67,17,18605
67,18,34248
67,19,283559
67,20,3363751
68,1,0
68,2,2
68,3,7
68,4,3
68,5,74
68,6,73
68,7,61
68,8,45
68,9,169
68,10,1487
68,11,2288
68,12,657
68,13,4946
68,14,6002
68,15,77811
68,16,66471
68,17,34606
68,18,136711
68,19,431317
68,20,787183
69,1,0
69,2,3
69,3,2
69,4,37
69,5,12
69,6,174
69,7,51
69,8,71
69,9,668
69,10,548
69,11,74
69,12,157
69,13,6981
69,14,16871
69,15,21683
69,16,36611
69,17,216529
69,18,142479
69,19,607138
69,20,1404209
70,1,0
70,2,2
70,3,2
70,4,13
70,5,49
70,6,5
70,7,81
70,8,104
70,9,292
70,10,1825
70,11,899
70,12,7984
70,13,1605
70,14,12226
70,15,13311
70,16,142885
70,17,13466
70,18,16167
70,19,206432
70,20,2839557
71,1,0
71,2,3
71,3,4
71,4,39
71,5,4
71,6,29
71,7,77
71,8,122
71,9,783
71,10,313
71,11,556
71,12,934
71,13,7673
71,14,3416
71,15,1654
71,16,55335
71,17,14918
71,18,24217
71,19,470684
71,20,1329979
72,1,0
72,2,1
72,3,7
72,4,3
72,5,119
72,6,40
72,7,286
72,8,31
72,9,40
72,10,1896
72,11,587
72,12,3110
72,13,6313
72,14,45997
72,15,28863
72,16,64629
72,17,193614
72,18,196951
72,19,347718
72,20,528094
73,1,0
73,2,1
73,3,2
73,4,20
73,5,38
73,6,35
73,7,10
73,8,12
73,9,1125
73,10,300
73,11,353
73,12,1048
73,13,1405
73,14,17244
73,15,150048
73,16,5988
73,17,2964
73,18,140199
73,19,1097192
73,20,2122142
74,1,0
74,2,1
74,3,8
74,4,3
74,5,4
74,6,156
74,7,62
74,8,7
74,9,614
74,10,449
74,11,4714
74,12,2204
74,13,13933
74,14,2145
74,15,60663
74,16,97571
74,17,18420
74,18,51501
74,19,929392
74,20,596635
75,1,0
75,2,2
75,3,3
75,4,12
75,5,19
75,6,83
75,7,278
75,8,139
75,9,700
75,10,271
75,11,186
75,12,1800
75,13,1286
75,14,735
75,15,11005
75,16,27929
75,17,1105346
75,18,165390
75,19,230938
75,20,284862
76,1,0
76,2,1
76,3,8
76,4,15
76,5,49
76,6,15
76,7,11
76,8,95
76,9,61
76,10,933
76,11,1885
76,12,2025
76,13,6012
76,14,11615
76,15,147394
76,16,21024
76,17,55501
76,18,123248
76,19,555836
76,20,236098
77,1,0
77,2,2
77,3,12
77,4,10
77,5,54
77,6,256
77,7,90
77,8,361
77,9,193
77,10,451
77,11,3744
77,12,4232
77,13,11825
77,14,1493
77,15,48216
77,16,82472
77,17,253205
77,18,11754
77,19,18264
77,20,345083
78,1,0
78,2,3
78,3,7
78,4,5
78,5,35
78,6,62
78,7,426
78,8,284
78,9,738
78,10,38
78,11,1795
78,12,4523
78,13,12740
78,14,27381
78,15,56372
78,16,170710
78,17,13320
78,18,16884
78,19,377705
78,20,228466
79,1,0
79,2,2
79,3,5
79,4,14
79,5,19
79,6,126
79,7,19
79,8,792
79,9,1124
79,10,1808
79,11,1246
79,12,4412
79,13,5460
79,14,31413
79,15,19549
79,16,191405
79,17,87589
79,18,506833
79,19,77444
79,20,421115
80,1,0
80,2,2
80,3,9
80,4,27
80,5,43
80,6,86
80,7,86
80,8,477
80,9,2605
80,10,49
80,11,1690
80,12,3099
80,13,11891
80,14,23555
80,15,71211
80,16,88736
80,17,128349
80,18,255781
80,19,40303
80,20,474734
81,1,0
81,2,2
81,3,7
81,4,28
81,5,38
81,6,37
81,7,25
81,8,149
81,9,987
81,10,347
81,11,1168
