Total Runs,Current Run,Streak Target,Flips Required,Theoretical Flips,Absolute Difference,Percentage Difference
88,15,8,238,256,-18,-7.03125
88,15,9,8,512,-504,-98.4375
88,15,10,1101,1024,77,7.51953125
88,15,11,1650,2048,-398,-19.43359375
88,15,12,5770,4096,1674,40.869140625
88,15,13,3110,8192,-5082,-62.0361328125
88,15,14,42920,16384,26536,161.962890625
88,15,15,39814,32768,7046,21.502685546875
88,16,1,0,2,-2,-100.0
88,16,2,1,4,-3,-75.0
88,16,3,5,8,-3,-37.5
88,16,4,4,16,-12,-75.0
88,16,5,28,32,-4,-12.5
88,16,6,70,64,6,9.375
88,16,7,45,128,-83,-64.84375
88,16,8,7,256,-249,-97.265625
88,16,9,267,512,-245,-47.8515625
88,16,10,1451,1024,427,41.69921875
88,16,11,267,2048,-1781,-86.962890625
88,16,12,1112,4096,-2984,-72.8515625
88,16,13,6005,8192,-2187,-26.69677734375
88,16,14,12094,16384,-4290,-26.18408203125
88,16,15,21545,32768,-11223,-34.2498779296875
88,17,1,0,2,-2,-100.0
88,17,2,2,4,-2,-50.0
88,17,3,5,8,-3,-37.5
88,17,4,11,16,-5,-31.25
88,17,5,49,32,17,53.125
88,17,6,39,64,-25,-39.0625
88,17,7,166,128,38,29.6875
88,17,8,695,256,439,171.484375
88,17,9,854,512,342,66.796875
88,17,10,1458,1024,434,42.3828125
88,17,11,1700,2048,-348,-16.9921875
88,17,12,16980,4096,12884,314.55078125
88,17,13,19797,8192,11605,141.66259765625
88,17,14,7354,16384,-9030,-55.11474609375
88,17,15,7673,32768,-25095,-76.5838623046875
88,18,1,0,2,-2,-100.0
88,18,2,2,4,-2,-50.0
88,18,3,8,8,0,0.0
88,18,4,3,16,-13,-81.25
88,18,5,137,32,105,328.125
88,18,6,78,64,14,21.875
88,18,7,6,128,-122,-95.3125
88,18,8,281,256,25,9.765625
88,18,9,152,512,-360,-70.3125
88,18,10,787,1024,-237,-23.14453125
88,18,11,539,2048,-1509,-73.681640625
88,18,12,1092,4096,-3004,-73.33984375
88,18,13,21474,8192,13282,162.1337890625
88,18,14,43461,16384,27077,165.264892578125
88,18,15,54681,32768,21913,66.8731689453125
88,19,1,0,2,-2,-100.0
88,19,2,1,4,-3,-75.0
88,19,3,8,8,0,0.0
88,19,4,14,16,-2,-12.5
88,19,5,8,32,-24,-75.0
88,19,6,16,64,-48,-75.0
88,19,7,207,128,79,61.71875
88,19,8,741,256,485,189.453125
88,19,9,537,512,25,4.8828125
88,19,10,792,1024,-232,-22.65625
88,19,11,4232,2048,2184,106.640625
88,19,12,1262,4096,-2834,-69.189453125
88,19,13,15406,8192,7214,88.0615234375
88,19,14,26669,16384,10285,62.774658203125
88,19,15,1726,32768,-31042,-94.732666015625
88,20,1,0,2,-2,-100.0
88,20,2,1,4,-3,-75.0
88,20,3,13,8,5,62.5
