Total Runs_,Absolute Difference_mean,Absolute Difference_std,Absolute Difference_min,Absolute Difference_max,Percentage Difference_mean,Percentage Difference_std,Percentage Difference_min,Percentage Difference_max
90,287.54,11558.394347647514,-32462,195283,-13.240550853587964,91.636656856059,-100.0,608.0078125
91,470.2197802197802,11100.960180461916,-32626,208177,-12.909165826035943,89.1348663794884,-100.0,635.3057861328125
92,-25.38695652173913,9362.759414304952,-32472,142197,-10.300076249716938,97.96930677113663,-100.0,716.40625
93,27.161290322580644,10169.643394271496,-32361,181707,-15.287792793738799,87.92697545915759,-100.0,554.5257568359375
94,-279.23758865248226,9058.139113119452,-32090,103555,-14.800694242436835,93.64485742646032,-100.0,1167.578125
95,112.82877192982455,9996.704695890543,-32565,129408,-11.99449826959978,88.30891635786051,-100.0,504.28466796875
96,-346.8541666666667,7900.56846457892,-32375,82047,-14.017772674560547,87.25568779408914,-100.0,582.03125
97,308.0123711340206,12563.586324975096,-32290,268564,-8.474838414143042,96.75308951331725,-100.0,819.59228515625
98,212.5625850340136,9883.642642885681,-32068,132881,-10.551739128268494,94.55521863338888,-100.0,556.73828125
99,-18.53063973063973,9910.35531224775,-32603,122528,-11.22844246501473,96.80996251562702,-100.0,684.576416015625
100,-274.1413333333333,9249.783460460134,-32713,125766,-16.249505615234376,86.66932782222376,-100.0,398.828125
