Flips,Mean,Std,Q1,Median,Q3,Min,Max,Count,Mean_Distance_from_0.5,Max_Distance_from_0.5
22,0.5000890909090909,0.10669946266055264,0.4090909090909091,0.5,0.5909090909090909,0.09090909090909091,0.9545454545454546,100000,8.909090909092754e-05,0.4545454545454546
23,0.5001195652173913,0.10450359939534257,0.43478260869565216,0.5217391304347826,0.5652173913043478,0.08695652173913043,0.9130434782608695,100000,0.00011956521739131531,0.41304347826086957
24,0.49996208333333336,0.10215141672646322,0.4166666666666667,0.5,0.5833333333333334,0.08333333333333333,0.875,100000,3.791666666663751e-05,0.4166666666666667
25,0.49951599999999996,0.10057384796749538,0.44,0.48,0.56,0.12,0.92,100000,0.00048400000000003995,0.42000000000000004
26,0.5003396153846154,0.0980231902949823,0.4230769230769231,0.5,0.5769230769230769,0.07692307692307693,0.8846153846153846,100000,0.0003396153846153549,0.4230769230769231
27,0.5001251851851852,0.09632290382378189,0.4444444444444444,0.48148148148148145,0.5555555555555556,0.14814814814814814,0.8888888888888888,100000,0.00012518518518522814,0.38888888888888884
28,0.5003075,0.0941975063144459,0.42857142857142855,0.5,0.5714285714285714,0.10714285714285714,0.8928571428571429,100000,0.0003075000000000161,0.3928571428571429
29,0.49946551724137933,0.093073638927303,0.4482758620689655,0.4827586206896552,0.5517241379310345,0.13793103448275862,0.8620689655172413,100000,0.0005344827586206691,0.3620689655172414
30,0.5004696666666667,0.09109046876083338,0.43333333333333335,0.5,0.5666666666666667,0.13333333333333333,0.8666666666666667,100000,0.00046966666666670154,0.3666666666666667
31,0.4999677419354839,0.0899282678468033,0.45161290322580644,0.4838709677419355,0.5483870967741935,0.0967741935483871,0.8709677419354839,100000,3.22580645161219e-05,0.4032258064516129
32,0.4999975,0.08845030884384314,0.4375,0.5,0.5625,0.15625,0.90625,100000,2.500000000016378e-06,0.40625
33,0.49976181818181814,0.08663127031780953,0.45454545454545453,0.48484848484848486,0.5454545454545454,0.15151515151515152,0.8787878787878788,100000,0.00023818181818185957,0.3787878787878788
34,0.49982176470588235,0.08594814498002566,0.4411764705882353,0.5,0.5588235294117647,0.14705882352941177,0.8529411764705882,100000,0.00017823529411764572,0.3529411764705882
35,0.49965828571428567,0.08455156394718331,0.42857142857142855,0.4857142857142857,0.5428571428571428,0.17142857142857143,0.8571428571428571,100000,0.00034171428571433404,0.3571428571428571
36,0.4999913888888889,0.08332573987393845,0.4444444444444444,0.5,0.5555555555555556,0.1388888888888889,0.8611111111111112,100000,8.611111111112013e-06,0.36111111111111116
37,0.5000394594594595,0.08223969696373541,0.43243243243243246,0.5135135135135135,0.5675675675675675,0.16216216216216217,0.8648648648648649,100000,3.945945945948992e-05,0.3648648648648649
38,0.49991447368421055,0.08106132182498234,0.4473684210526316,0.5,0.5526315789473685,0.13157894736842105,0.8157894736842105,100000,8.552631578945258e-05,0.368421052631579
39,0.5000466666666666,0.0801526092205034,0.4358974358974359,0.5128205128205128,0.5641025641025641,0.1794871794871795,0.8717948717948718,100000,4.666666666663932e-05,0.3717948717948718
40,0.49955725,0.078732361264506,0.45,0.5,0.55,0.175,0.825,100000,0.00044274999999999176,0.325
41,0.49959219512195124,0.07800144417212386,0.43902439024390244,0.4878048780487805,0.5609756097560976,0.14634146341463414,0.8292682926829268,100000,0.0004078048780487564,0.35365853658536583
42,0.5000245238095238,0.07727785910130079,0.4523809523809524,0.5,0.5476190476190477,0.19047619047619047,0.8571428571428571,100000,2.452380952377986e-05,0.3571428571428571
43,0.499843488372093,0.07621396153381468,0.4418604651162791,0.4883720930232558,0.5581395348837209,0.18604651162790697,0.813953488372093,100000,0.00015651162790697448,0.313953488372093
44,0.4999909090909091,0.07542500098511916,0.45454545454545453,0.5,0.5454545454545454,0.1590909090909091,0.8181818181818182,100000,9.090909090903043e-06,0.34090909090909094
45,0.5004555555555555,0.07450343318933877,0.4444444444444444,0.5111111111111111,0.5555555555555556,0.2,0.8,100000,0.0004555555555555424,0.30000000000000004
46,0.5001530434782608,0.07360044209695352,0.45652173913043476,0.5,0.5434782608695652,0.1956521739130435,0.8260869565217391,100000,0.0001530434782608392,0.32608695652173914
47,0.49974893617021277,0.07325782283123419,0.44680851063829785,0.48936170212765956,0.5531914893617021,0.1702127659574468,0.8085106382978723,100000,0.00025106382978723474,0.32978723404255317
48,0.500391875,0.0722026838788944,0.4583333333333333,0.5,0.5416666666666666,0.1875,0.7916666666666666,100000,0.0003918750000000415,0.3125
49,0.5000342857142858,0.07124746444611375,0.4489795918367347,0.5102040816326531,0.5510204081632653,0.20408163265306123,0.7959183673469388,100000,3.4285714285764435e-05,0.29591836734693877
50,0.49993,0.07052021576121482,0.46,0.5,0.54,0.18,0.8,100000,7.00000000000145e-05,0.32
51,0.5000939215686275,0.06972501462578223,0.45098039215686275,0.49019607843137253,0.5490196078431373,0.21568627450980393,0.7843137254901961,100000,9.392156862753076e-05,0.28431372549019607
52,0.5001963461538461,0.06928116633774441,0.46153846153846156,0.5,0.5384615384615384,0.19230769230769232,0.8461538461538461,100000,0.00019634615384611642,0.34615384615384615
53,0.49989509433962265,0.06868500288072264,0.4528301886792453,0.5094339622641509,0.5471698113207547,0.20754716981132076,0.7735849056603774,100000,0.00010490566037735238,0.29245283018867924
54,0.5001594444444445,0.06786714958100329,0.46296296296296297,0.5,0.5370370370370371,0.2222222222222222,0.7962962962962963,100000,0.0001594444444444898,0.2962962962962963
55,0.4998143636363636,0.06726813900133512,0.45454545454545453,0.4909090909090909,0.5454545454545454,0.21818181818181817,0.7818181818181819,100000,0.0001856363636363878,0.28181818181818186
56,0.4995319642857143,0.06678419332093809,0.44642857142857145,0.5,0.5357142857142857,0.17857142857142858,0.7678571428571429,100000,0.00046803571428571944,0.3214285714285714
57,0.500010701754386,0.066101113561038,0.45614035087719296,0.49122807017543857,0.543859649122807,0.21052631578947367,0.7719298245614035,100000,1.0701754385999962e-05,0.2894736842105263
58,0.49989362068965515,0.06583028144776998,0.4482758620689655,0.5,0.5517241379310345,0.20689655172413793,0.7586206896551724,100000,0.00010637931034485071,0.2931034482758621
