Run,Streak Target,Flips Required
47,10,497
47,11,1606
47,12,6691
47,13,6794
47,14,6814
47,15,34184
47,16,8323
47,17,5474
47,18,334537
47,19,561439
47,20,848599
48,1,0
48,2,1
48,3,9
48,4,9
48,5,14
48,6,8
48,7,159
48,8,211
48,9,832
48,10,166
48,11,1311
48,12,8032
48,13,4580
48,14,5963
48,15,46111
48,16,138830
48,17,254568
48,18,120145
48,19,325896
48,20,818326
49,1,0
49,2,5
49,3,4
49,4,22
49,5,145
49,6,16
49,7,287
49,8,131
49,9,764
49,10,990
49,11,55
49,12,2217
49,13,23163
49,14,11217
49,15,22937
49,16,2957
49,17,153507
49,18,209098
49,19,524273
49,20,232188
50,1,0
50,2,2
50,3,2
50,4,11
50,5,89
50,6,21
50,7,26
50,8,538
50,9,505
50,10,36
50,11,914
50,12,1721
50,13,10875
50,14,1114
50,15,48404
50,16,43184
50,17,491994
50,18,14287
50,19,283392
50,20,1336391
51,1,0
51,2,4
51,3,6
51,4,4
51,5,8
51,6,62
51,7,69
51,8,301
51,9,563
51,10,294
51,11,901
51,12,9520
51,13,4195
51,14,90803
51,15,8367
51,16,15356
51,17,61757
51,18,68167
51,19,61612
51,20,3148531
52,1,0
52,2,1
52,3,8
52,4,22
52,5,15
52,6,62
52,7,29
52,8,80
52,9,474
52,10,270
52,11,635
52,12,4067
52,13,9348
52,14,100385
52,15,10760
52,16,163307
52,17,72375
52,18,23506
52,19,855008
52,20,4047386
53,1,0
53,2,2
53,3,7
53,4,22
53,5,16
53,6,40
53,7,53
53,8,192
53,9,787
53,10,1310
53,11,480
53,12,2709
53,13,14443
53,14,38606
53,15,15879
53,16,18821
53,17,14690
53,18,512333
53,19,642304
53,20,1187232
54,1,0
54,2,2
54,3,2
54,4,19
54,5,15
54,6,104
54,7,54
54,8,864
54,9,286
54,10,903
54,11,3244
54,12,46
54,13,1517
54,14,3538
54,15,23491
54,16,74879
54,17,349928
54,18,147229
54,19,691503
54,20,2779103
55,1,0
55,2,1
55,3,2
55,4,77
55,5,80
55,6,7
55,7,17
55,8,324
55,9,1682
55,10,135
55,11,211
55,12,3767
55,13,11557
55,14,785
55,15,9506
55,16,84588
55,17,115915
55,18,236674
55,19,362022
55,20,252532
56,1,0
56,2,1
56,3,6
56,4,23
56,5,15
56,6,40
56,7,7
56,8,298
56,9,248
56,10,1022
56,11,2663
56,12,3805
56,13,2866
56,14,11157
56,15,21041
56,16,7995
56,17,44228
56,18,240212
56,19,116221
56,20,1985109
57,1,0
57,2,1
57,3,2
57,4,12
57,5,12
57,6,131
57,7,97
57,8,160
57,9,501
57,10,930
57,11,1840
57,12,4802
57,13,9682
57,14,49922
57,15,2202
57,16,11049
57,17,259205
57,18,123871
57,19,385956
57,20,476836
58,1,0
58,2,1
58,3,7
58,4,12
58,5,9
58,6,5
58,7,45
58,8,78
58,9,216
58,10,980
58,11,3356
58,12,1579
58,13,5377
58,14,37154
58,15,10858
58,16,174281
58,17,419269
58,18,470344
58,19,837513
58,20,9200659
59,1,0
59,2,2
59,3,6
59,4,9
59,5,4
59,6,36
59,7,40
59,8,138
59,9,195
59,10,135
59,11,1109
59,12,3211
59,13,21197
59,14,3882
59,15,4221
59,16,82566
59,17,197682
59,18,196770
59,19,314923
59,20,1455686
60,1,0
60,2,2
60,3,5
60,4,23
60,5,72
60,6,16
60,7,56
60,8,211
60,9,58
60,10,2558
60,11,258
60,12,7698
60,13,9673
60,14,8877
60,15,23467
60,16,35757
60,17,56747
60,18,187494
60,19,1812527
60,20,300346
61,1,0
61,2,3
61,3,9
61,4,32
61,5,33
61,6,152
61,7,67
61,8,156
61,9,371
61,10,555
61,11,7096
61,12,3342
61,13,1034
61,14,18562
61,15,111938
61,16,182040
61,17,100773
61,18,569578
61,19,955519
61,20,149674
62,1,0
62,2,2
62,3,6
62,4,13
62,5,62
62,6,180
62,7,7
62,8,96
62,9,378
62,10,1024
62,11,1234
62,12,5840
62,13,15134
62,14,3323
62,15,25985
62,16,66433
62,17,707389
62,18,100018
62,19,709816
62,20,839100
